keyword,beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,beta_8,beta_9
ample body mass,0.0055,0.0803,0.0327,0.0243,0.0106,0.0077,-0.0096,0.0034,0.0044,-0.007
ample chest,0.0857,0.1055,0.0454,0.0312,0.0182,-0.0024,0.0082,0.0227,-0.0059,0.0036
average height,-0.01,-0.0091,0.001,0.0053,-0.0083,0.0062,0.0041,-0.0001,0.0084,0.013
broad hip,-0.126,0.3672,0.2539,0.2278,0.0686,0.071,0.0423,0.0141,0.0606,-0.0029
broad shoulders,0.1779,0.4342,0.0384,-0.1002,-0.0114,-0.138,0.052,0.0248,-0.0791,-0.043
compact,-0.2075,0.0476,0.0151,-0.0115,-0.0029,-0.0239,0.0063,0.0071,-0.0107,-0.005
expansive hips,-0.0546,0.1369,0.0936,0.0844,0.0345,0.0174,0.0123,0.0028,0.0253,0.0065
expansive waist,0.0503,0.0667,0.0479,0.0463,0.0096,0.0141,-0.0002,0.0139,0.008,0.0112
long arms,-0.0077,0.2081,-0.4262,-0.0329,0.0788,0.0193,0.011,0.0205,0.1268,-0.0114
long legs,-0.0934,0.0304,-0.1529,0.4012,-0.0258,0.2056,-0.0029,0.0166,-0.0941,-0.0778
long neck,0.0553,0.0026,0.011,0.0114,0.0103,0.0081,-0.0051,-0.0086,0.0047,-0.0046
lot of body mass,0.1558,0.2462,0.1597,0.1055,0.0265,-0.0009,0.0044,-0.0222,0.0082,0.0061
low body mass,-0.1924,-0.3178,-0.2084,-0.1352,-0.0538,0.0081,-0.0089,0.0207,-0.0061,-0.0138
meager body mass,-0.0854,-0.0988,-0.0512,-0.029,-0.0158,-0.0035,0.0004,0.0181,0.0022,0.004
muscular,0.0861,0.1316,0.0743,0.0623,0.0334,0.0083,0.0178,-0.0201,0.0101,0.0009
narrow hip,0.0569,-0.3613,-0.2634,-0.2198,-0.07,-0.0618,-0.0514,-0.029,-0.0511,-0.0075
narrow shoulders,-0.2302,-0.4277,-0.0302,0.0683,-0.0041,0.136,-0.0478,-0.0183,0.0807,0.0419
petite,-0.239,-0.0071,-0.0085,-0.036,0.0017,-0.0026,0.0025,0.004,0.008,0.0129
robust arms,0.0577,0.0736,0.0575,0.0462,0.029,0.0003,0.0081,-0.0176,-0.0009,-0.0086
short,-0.2945,-0.0662,0.2119,-0.1258,-0.0599,-0.1174,-0.0073,0.0052,0.007,0.0367
short arms,-0.0688,-0.1975,0.4294,0.0272,-0.0909,-0.0176,-0.0212,-0.0291,-0.1266,0.0251
short legs,0.021,-0.0095,0.1528,-0.4072,0.013,-0.2085,-0.0074,-0.0068,0.0991,0.0996
short neck,-0.47,0.0324,-0.0995,0.1541,-0.0543,-0.0205,0.0189,0.0437,0.027,-0.0522
slender,-0.1137,-0.2671,-0.1361,-0.0724,-0.0491,0.0007,-0.0243,0.0124,-0.0099,0.0012
slender legs,-0.0757,-0.1111,-0.0923,-0.0674,-0.0371,0.0012,-0.0072,0.04,0.0074,0.0071
slender neck,-0.0305,0.0192,-0.0111,0.0416,-0.0066,0.0016,-0.007,-0.0009,0.0004,0.004
slim hips,-0.0257,-0.1161,-0.0339,-0.0186,-0.0056,0.0114,-0.0229,-0.01,0.001,0.0092
slim torso,-0.0208,-0.0616,-0.041,-0.0317,-0.0102,-0.014,-0.0041,-0.0216,-0.0157,0.0162
slim waist,-0.0222,-0.0722,-0.0502,-0.0268,0.0097,-0.0107,-0.0068,-0.0078,-0.0128,-0.0109
spindly arms,-0.0393,-0.1234,-0.0635,-0.0586,-0.0296,0.0056,-0.0148,0.0082,0.0104,0.0063
sturdy arms,0.0411,0.1277,0.0483,0.0564,0.0296,0.005,0.0195,-0.0062,-0.0043,-0.0129
sturdy legs,0.0507,0.1002,0.0564,0.0588,0.0379,0.0055,0.0211,-0.0191,0.0034,-0.0125
tall,0.4935,0.0301,0.046,-0.0139,0.051,0.0433,-0.0143,-0.031,-0.0185,0.0162
tall neck,0.4743,-0.0162,0.1115,-0.1653,0.0567,0.0041,-0.0228,-0.0507,-0.0121,0.0554
thick arms,0.1868,0.3473,0.248,0.1857,0.085,-0.0022,0.0216,-0.0876,-0.0285,-0.0068
thick bust,0.2629,0.3573,0.1909,0.1249,0.0413,0.0163,-0.0036,0.0819,-0.0315,0.0176
thick legs,0.1488,0.2849,0.2489,0.251,0.1058,-0.0068,0.04,-0.2001,0.036,-0.006
thick waist,0.1713,0.3624,0.2597,0.197,0.0372,0.0806,0.0003,0.0269,0.0497,0.0132
thin arms,-0.1936,-0.3611,-0.2504,-0.1745,-0.0915,0.0038,-0.0314,0.0706,0.032,0.0085
thin bust,-0.2514,-0.3651,-0.193,-0.1266,-0.0491,0.003,-0.0092,-0.0792,0.0301,-0.0264
thin legs,-0.1601,-0.2906,-0.2378,-0.2333,-0.1186,0.0049,-0.051,0.1893,-0.0343,0.0047
thin waist,-0.163,-0.3649,-0.2522,-0.187,-0.0357,-0.0644,-0.0013,-0.0327,-0.0378,-0.0212
towering,0.3416,-0.0533,0.0142,0.0127,0.0011,0.0192,-0.0106,0.0005,0.0036,0.01
wide shoulders,0.0474,0.1027,0.0129,0.0204,0.0086,-0.0107,0.0141,-0.0037,-0.0158,-0.0192
