keyword,beta_index,beta,r,p_value,abs_r,significant
tall,0,beta_0,0.49349,0.0,0.49349,True
tall,1,beta_1,0.03012,1.3e-05,0.03012,True
tall,2,beta_2,0.04597,0.0,0.04597,True
tall,3,beta_3,-0.01394,0.043302,0.01394,True
tall,4,beta_4,0.05104,0.0,0.05104,True
tall,5,beta_5,0.0433,0.0,0.0433,True
tall,6,beta_6,-0.01431,0.038085,0.01431,True
tall,7,beta_7,-0.03097,7e-06,0.03097,True
tall,8,beta_8,-0.01846,0.007455,0.01846,True
tall,9,beta_9,0.01618,0.019072,0.01618,True
short,0,beta_0,-0.29448,0.0,0.29448,True
short,1,beta_1,-0.06621,0.0,0.06621,True
short,2,beta_2,0.21189,0.0,0.21189,True
short,3,beta_3,-0.12578,0.0,0.12578,True
short,4,beta_4,-0.05987,0.0,0.05987,True
short,5,beta_5,-0.11741,0.0,0.11741,True
short,6,beta_6,-0.00729,0.290999,0.00729,False
short,7,beta_7,0.00522,0.44959,0.00522,False
short,8,beta_8,0.00697,0.312392,0.00697,False
short,9,beta_9,0.03666,0.0,0.03666,True
average height,0,beta_0,-0.00995,0.149292,0.00995,False
average height,1,beta_1,-0.00908,0.188329,0.00908,False
average height,2,beta_2,0.00099,0.885818,0.00099,False
average height,3,beta_3,0.00528,0.444388,0.00528,False
average height,4,beta_4,-0.0083,0.228981,0.0083,False
average height,5,beta_5,0.00617,0.370942,0.00617,False
average height,6,beta_6,0.0041,0.55243,0.0041,False
average height,7,beta_7,-8e-05,0.991323,8e-05,False
average height,8,beta_8,0.00839,0.223991,0.00839,False
average height,9,beta_9,0.01299,0.059718,0.01299,False
petite,0,beta_0,-0.239,0.0,0.239,True
petite,1,beta_1,-0.00713,0.301608,0.00713,False
petite,2,beta_2,-0.0085,0.217822,0.0085,False
petite,3,beta_3,-0.03603,0.0,0.03603,True
petite,4,beta_4,0.00171,0.803964,0.00171,False
petite,5,beta_5,-0.00264,0.702296,0.00264,False
petite,6,beta_6,0.00251,0.716353,0.00251,False
petite,7,beta_7,0.00405,0.55713,0.00405,False
petite,8,beta_8,0.008,0.246462,0.008,False
petite,9,beta_9,0.01291,0.061398,0.01291,False
compact,0,beta_0,-0.2075,0.0,0.2075,True
compact,1,beta_1,0.04758,0.0,0.04758,True
compact,2,beta_2,0.01506,0.029058,0.01506,True
compact,3,beta_3,-0.01148,0.096131,0.01148,False
compact,4,beta_4,-0.00293,0.671345,0.00293,False
compact,5,beta_5,-0.02393,0.000524,0.02393,True
compact,6,beta_6,0.00632,0.36005,0.00632,False
compact,7,beta_7,0.00711,0.302629,0.00711,False
compact,8,beta_8,-0.01071,0.120587,0.01071,False
compact,9,beta_9,-0.00504,0.464949,0.00504,False
towering,0,beta_0,0.34164,0.0,0.34164,True
towering,1,beta_1,-0.05328,0.0,0.05328,True
towering,2,beta_2,0.01424,0.039111,0.01424,True
towering,3,beta_3,0.01272,0.065328,0.01272,False
towering,4,beta_4,0.00113,0.869783,0.00113,False
towering,5,beta_5,0.01916,0.005488,0.01916,True
towering,6,beta_6,-0.01062,0.123652,0.01062,False
