keyword,primary_beta,r,abs_r,primary_weight
tall,beta_0,0.49349,0.49349,1.0
tall neck,beta_0,0.4743,0.4743,0.9594
short neck,beta_0,-0.46997,0.46997,0.9502
towering,beta_0,0.34164,0.34164,0.6787
short,beta_0,-0.29448,0.29448,0.579
petite,beta_0,-0.239,0.239,0.4616
compact,beta_0,-0.2075,0.2075,0.395
long neck,beta_0,0.05528,0.05528,0.0729
broad shoulders,beta_1,0.43425,0.43425,1.0
narrow shoulders,beta_1,-0.42766,0.42766,0.9842
broad hip,beta_1,0.36719,0.36719,0.8396
thin bust,beta_1,-0.36513,0.36513,0.8347
thin waist,beta_1,-0.3649,0.3649,0.8341
thick waist,beta_1,0.36238,0.36238,0.8281
thin arms,beta_1,-0.36113,0.36113,0.8251
thick bust,beta_1,0.35734,0.35734,0.816
thick arms,beta_1,0.34732,0.34732,0.7921
low body mass,beta_1,-0.31779,0.31779,0.7214
slender,beta_1,-0.26714,0.26714,0.6003
lot of body mass,beta_1,0.24625,0.24625,0.5503
expansive hips,beta_1,0.13692,0.13692,0.2888
muscular,beta_1,0.13163,0.13163,0.2761
sturdy arms,beta_1,0.12769,0.12769,0.2667
spindly arms,beta_1,-0.12342,0.12342,0.2565
slim hips,beta_1,-0.11606,0.11606,0.2389
slender legs,beta_1,-0.11111,0.11111,0.227
ample chest,beta_1,0.10554,0.10554,0.2137
wide shoulders,beta_1,0.10266,0.10266,0.2068
meager body mass,beta_1,-0.09881,0.09881,0.1976
ample body mass,beta_1,0.08027,0.08027,0.1532
robust arms,beta_1,0.07356,0.07356,0.1372
slim waist,beta_1,-0.07225,0.07225,0.1341
expansive waist,beta_1,0.06666,0.06666,0.1207
slim torso,beta_1,-0.06163,0.06163,0.1086
short arms,beta_2,0.42935,0.42935,1.0
short legs,beta_3,-0.4072,0.4072,1.0
slender neck,beta_3,0.04165,0.04165,0.0705
thin legs,beta_4,-0.11864,0.11864,1.0
sturdy legs,beta_4,0.03786,0.03786,0.2141
long legs,beta_5,0.20559,0.20559,0.9852
narrow hip,beta_6,-0.05138,0.05138,0.9847
thick legs,beta_7,-0.20013,0.20013,1.0
long arms,beta_8,0.1268,0.1268,1.0
